 Date,Start Time,End TIme,Activity,location,"General Emotion (excited, happy, calm, anxious, sad, angry)",Qualitative,Excited,Happy,Calm,Anxious,Sad ,Angry,Hungry,Tired,Bored
4/22/2016,1:48:00 PM,,writing thesis,barb's office,anxious,6,,,,,,,,,
4/22/2016,4:12:00 PM,,writing thesis,barb's office,anxious,6,,,,,,,,,
4/22/2016,5:15:00 PM,,eating russian dumplings with annie then watching hashem give everyone a dumpling and seeing them enjoy them!!!,5th floor lounge,happy,10,,,,,,,,,
4/22/2016,7:05:00 PM,,photofeast,3rd floor,excited/anxious,5/3,,,,,,,,,
4/22/2016,7:15:00 PM,,naked picture of charles in photofeast,3rd floor,what can only be described as traumatic shock,10,,,,,,,,,
4/22/2016,7:25:00 PM,,colin making fun of me for drinking a beer. then annie making fun of me for drinking a beer.,3rd floor,whatever emotion slanty eye is,8,,,,,,,,,
4/22/2016,7:40:00 PM,,made awkward eye contact/facial expression exchange with prof i've been crushing on all semester only to then walk into someone else i knew and didn't need to see!,outside of 80 5th av,anxious,10,,,,,,,,,
4/22/2016,8:30:00 PM,,eating ice cream with annie!,chinatown ice cream factory,happy,10,,,,,,,,,
4/22/2016,9:00:00 PM,,got home,home,calm,9,,,,,,,,,
4/22/2016,9:50:00 PM,,start exercising (~1hr),home,n/a?,,,,,,,,,,
4/22/2016,11:00:00 PM,,finished shower,home,calm,10,,,,,,,,,
4/23/2016,5:00:00 AM,,woken up by loud roommate coming home at unreasonable hour to be loud,home,angry/tired,5/7,,,,,,,,,
4/23/2016,8:15:00 AM,,woke up thinking i overslept,home,anxious,5,,,,,,,,,
4/23/2016,9:15:00 AM,,woke up at right time,home,calm,8,,,,,,,,,
4/23/2016,12:00:00 PM,,Reading a book in prospect park waiting for late people,prospect park,Calm,10,,,,,,,,,
4/23/2016,2:45:00 PM,,Sitting in the lab with Sally ,3rd floor,Tired/hungry!,7/9,,,,,,,9,7,
4/23/2016,4:00:00 PM,,writing thesis,3rd floor,anxious,6,,,,6,,,,,
4/23/2016,6:30:00 PM,,attacked by jesus freaks in front of university center,university center,anxious,4,,,,4,,,,,
4/23/2016,7:15:00 PM,,trying to find books at bobst,bobst,anxious,5,,,,5,,,,,
4/23/2016,7:45:00 PM,,annoying people on the subway bumping into me,subway,angry,4,,,,,,4,,,
4/23/2016,8:45:00 PM,,start exercising (~1hr),home,n/a?,,,,,,,,,,
4/23/2016,11:00:00 PM,,cooked food for tomorrow,home,happy,7,,7,,,,,,,
4/24/2016,12:00:00 AM,,folding laundry and watching tv,home,calm,10,,,10,,,,,,
4/24/2016,11:15:00 AM,,arash gets to work and is being a jerk,4th floor cage,angry,7,,,,,,,,,
4/24/2016,11:45:00 AM,,sally and boris come in for studio,4th floor cage,happy,4,,,,,,,,,
4/24/2016,12:30:00 PM,,talking to sol and Arash ,4th floor cage,angry,8,,,,,,,,,
4/24/2016,1:15:00 PM,,talking to arash,4th floor cage,angry,6,,,,,,,,,
4/24/2016,2:00:00 PM,,arash shows me where to download books,4th floor cage,excited,7,,,,,,,,,
4/24/2016,3:00:00 PM,,sol disappeared and lots of people need him,4th floor cage,anxious,6,,,,,,,,,
4/24/2016,3:30:00 PM,,talking to sol and Arash ,4th floor cage,Angry,10,,,,,,,,,
4/24/2016,3:55:00 PM,,finally some silence from the peanut gallery,4th floor cage,angry,2,,,,,,,,,
4/24/2016,4:00:00 PM,,thinking about talking to sol and arash because i had to write it down in this thing,4th floor cage,angry,6,,,,,,,,,
4/24/2016,4:25:00 PM,,hehe i got sol and arash to do soldier kicks,4th floor cage,excited,5,,,,,,,,,
4/24/2016,7:00:00 PM,7:01:00 PM,kevin came to work! now i can leave,4th floor cage,excited,4,,,,,,,,,
4/24/2016,8:15:00 PM,9:25:00 PM,exercise (~1hr),home,n/a?,,,,,,,,,,
4/25/2016,10:00:00 AM,11:40:00 AM,microeconomics class,6 e 16th,bored,6,,,,,,,,,
4/25/2016,12:30:00 PM,1:00:00 PM,working on presentation,barb's office,anxious,5,,,,,,,,,
4/25/2016,1:00:00 PM,1:35:00 PM,working on microeconomics homework,barb's office,anxious,5,,,,,,,,,
4/25/2016,1:50:00 PM,3:30:00 PM,working on thesis in political psych class,barb's office,anxious,7,,,,,,,,,
4/25/2016,4:00:00 PM,4:40:00 PM,working on microeconomics homework,barb's office,anxious/tired,6/8,,,,,,,,,
4/25/2016,4:50:00 PM,5:00:00 PM,drinking hot cocoa,5th floor lounge,happy,8,,,,,,,,,
4/25/2016,5:02:00 PM,5:06:00 PM,talking to barb,barb's office,angry,7,,,,,,,,,
4/25/2016,5:50:00 PM,7:50:00 PM,class; had a presentation,66 w 12th,anxious/calm,6/8,,,,,,,,,
4/25/2016,8:00:00 PM,9:30:00 PM,video class,arnold hall,bored,8,,,,,,,,,
4/25/2016,10:30:00 PM,10:45:00 PM,talking to mom and facetimed cat!,home,excited,10,,,,,,,,,
4/26/2016,9:15:00 AM,9:20:00 AM,forgot metrocard and had to go home,block from home,anxious,6,,,,,,,,,
4/26/2016,10:00:00 AM,11:30:00 AM,calligraphy class aka the best way to start your morning,6 e 16th,calm,10,,,,,,,,,
4/26/2016,11:50:00 AM,12:00:00 PM,gossiping with hashem,durst,excited,5,,,,,,,,,
4/26/2016,12:35:00 PM,12:45:00 PM,battle of the barb,5th floor,excited anger,,2,3,,,,3,,,
4/26/2016,1:00:00 PM,2:45:00 PM,thesis death,5th floor,anxious,,,,,9,,,,,
4/26/2016,4:15:00 PM,4:30:00 PM,art therapy with elizabeth,5th floor,calm,,,,8,,,,,,
4/26/2016,4:50:00 PM,5:00:00 PM,sitting with sally on 5,5th floor,calm,,,,6,,,,,,
4/26/2016,6:15:00 PM,6:20:00 PM,went to talk and realized how uninteresting it was about to be so left,NYU,bored,,,4,,4,1,,,,
4/26/2016,8:25:00 PM,9:25:00 PM,"exercise (warmup, exercise, stretch/cooldown)",home,dying,,,,,,,,,,
4/26/2016,9:40:00 PM,9:45:00 PM,find facebook message request from an ex who i broke up with in high school why are you messaging me?!?!?,home,confused/annoyed,,,,,2,,1,,,
4/26/2016,11:45:00 PM,11:46:00 PM,took a melatonin to help me sleep ,home,,,,,,,,,,,
4/27/2016,10:00:00 AM,11:40:00 AM,microeconomics class,6 e 16th,bored,,,,4,,,,,,8
4/27/2016,11:50:00 AM,11:55:00 AM,go to meet political psych prof and he says that he can't meet,80 5th av,angry,,,,,2,,4,,,
4/27/2016,12:05:00 PM,12:10:00 PM,talking to psycho-barb,barb's office,alarmed,,,,,3,,,,,
4/27/2016,12:15:00 PM,12:40:00 PM,waiting in line to get cap and gown ,university center,bored,,,,3,,,,2,,2
4/27/2016,1:00:00 PM,1:40:00 PM,registering for the FSOT,6 e 16th,anxious,,,,,6,,3,,,
4/27/2016,1:50:00 PM,3:30:00 PM,political psychology class (doing hw in class),6 e 16th,bored,,,,,6,,,,,6
4/27/2016,2:00:00 PM,2:05:00 PM,political psych prof tried to tell the class that he had a meeting today and i called him out on it being a LIE,6 e 16th,angry,,4,,,2,,7,,,
4/27/2016,3:35:00 PM,4:15:00 PM,global studies coffee hour,caffe bene,anxious,,2,,,5,,,2,2,
4/27/2016,4:30:00 PM,4:31:00 PM,punched colin,barb's office,angry,,2,,,8,,8,,,
4/27/2016,4:32:00 PM,4:45:00 PM,intimidating colin,barb's office,anxious/angry,,4,,,9,,9,,,
4/27/2016,7:05:00 PM,8:00:00 PM,"exercise (warmup, exercise, stretch/cooldown)",home,dying,,,,,,,,,,
4/27/2016,11:20:00 PM,11:21:00 PM,thesis presentation email,home,anxious,,,,,10,,,,,
4/28/2016,10:00:00 AM,11:30:00 AM,calligraphy class aka the best way to start your morning,6 e 16th,calm,,,,10,,,,,,
4/28/2016,2:35:00 PM,2:36:00 PM,loud volume from class,66 5th av,scared,,5,,,8,,,,,
4/28/2016,2:41:00 PM,2:42:00 PM,loud volume from class,66 5th av,scared,,5,,,8,,,,,
4/28/2016,3:25:00 PM,3:35:00 PM,attacking arash,5th floor,excited,,3,2,,,,,,1,
4/28/2016,4:15:00 PM,5:20:00 PM,thesis meeting,66 w 12th,calm,,,,5,2,,,,2,
4/28/2016,5:45:00 PM,7:50:00 PM,evolution of warfare class,6 e 16th,calm/tired,,,,7,,,,,4,
4/28/2016,9:10:00 PM,10:10:00 PM,"exercise (warmup, exercise, stretch/cooldown)",home,dying,,,,,,,,,,
4/29/2016,8:30:00 AM,9:30:00 AM,stayed in bed BECAUSE I COULD! and couldn't call back asleep,home,happy,,,5,10,,,,,,
4/29/2016,10:30:00 AM,11:00:00 AM,went to rice noodle lady,3 blocks from home,happy,,5,5,5,,,,8,,
4/29/2016,11:00:00 AM,3:15:00 PM,homework/procrastinating homework with other homework/pokemon on in the background,home,anxious,,,,2,5,,,,,2
4/29/2016,3:15:00 PM,5:30:00 PM,procrastinating adventure,out and about,anxious,,,2,2,4,,,,,
4/29/2016,5:30:00 PM,8:50:00 PM,homework,home,anxious,,,,,7,,2,,,
4/29/2016,8:50:00 PM,9:45:00 PM,"exercise (warmup, exercise, stretch/cooldown)",home,dying,,,,,,,,,,
4/29/2016,10:05:00 PM,11:59:00 PM,homework/pokemon hehe,home,anxious,,,2,,5,,,,,
4/30/16,12:00:00 AM,12:40:00 AM,editing photos instead of writing thesis,home,calm,,,,8,2,,,,,
4/30/16,9:25:00 AM,9:35:00 AM,noodle lady,3 blocks from home,happy,,4,4,2,,,,,,
4/30/16,9:36:00 AM,10:15,eating and drinking coffee,home,happy,,,5,5,,,,,,
4/30/16,10:16:00 AM,11:00:00 AM,waiting for late video project partner,home,anxious/irritated,,,,,5,,2,,,
4/30/16,11:01:00 AM,12:00:00 PM,driving to hofstra (brief moments of life threatening experiences),car,anxious,,,,,4,,,,,3
4/30/16,12:01:00 PM,2:40:00 PM,recording rugby game,hofstra university,bored,,,,,4,,,,,3
4/30/16,14:41,3:30:00 PM,driving to school (brief moments of life threatening experiences),car,anxious,,,,,4,,,,,
4/30/16,3:40:00 PM,7:00:00 PM,editing video,3rd floor,anxious,,,,4,2,,,,2,2
4/30/16,7:01:00 PM,10:15:00 PM,editing russia book,3rd floor/5th floor,calm,,,,10,,,,,,
4/30/16,8:30:00 PM,8:45:00 PM,root beer floats,5th floor,happy,,4,6,,,,,,,
5/1/2016,11:00:00 AM,7:00:00 PM,working in cage/doing hw,4th floor cage,anxious,,,,,4,,2,,,
5/1/2016,1:50:00 PM,1:35:00 PM,attack arash,4th floor cage,angry,,,,,,,8,,,
5/1/2016,3:09:00 PM,3:10:00 PM,found out troy is moving to SF,4th floor cage,angry,,,,,10,10,10,,,
5/1/2016,5:05:00 PM,5:15:00 PM,taiso exercises with sol and arash (you should see the security cam footage),4th floor cage,happy,,2,2,5,,,,,,
5/1/2016,8:35:00 PM,9:35:00 PM,"exercise (warmup, exercise, stretch/cooldown)",home,dying,,,,,,,,,,
5/2/2016,6:50:00 AM,7:00:00 AM,woke up annoyed,home,angry,,,,,2,,2,,8,
5/2/2016,8:40:00 AM,8:43:00 AM,david.,university center,angry,,,,,3,,6,,6,
5/2/2016,9:00:00 AM,9:45:00 AM,david.,university center,angry,,,,,2,,6,,4,
5/2/2016,10:00:00 AM,11:40:00 AM,microeconomics class,6 e 16th stret,bored,,,,4,4,,2,,2,
5/2/2016,12:00 PM,12:10:00 PM,hashem called me a spy and i never want to see his stupid face again,5th floor,angry,,,,,4,,10,,2,
5/2/2016,12:10 PM,1:18:00 PM,homework,barb's office,anxious,,,,,4,,2,,2,
5/2/2016,1:19 PM,1:20:00 PM,hit sally,barb's office,excited,,8,,,3,,,,2,
5/2/2016,1:20:00 PM,1:21:00 PM,laughing with sally,barb's office,happy,,5,5,,,,,,2,
5/2/2016,1:38:00 PM,1:50:00 PM,charles,barb's office,angry,,,,,,,8,,,
5/2/2016,1:49:00 PM,1:50:00 PM,listening to sally enter in her emotions,barb's office,excited,,5,5,,,,,,,
5/2/2016,2:00:00 PM,2:10:00 PM,barb and sally are teasing me then arash was being mean and i told him yesterday i would punch him so i did,5th floor,angry,,3,,,,,9,,,
5/2/2016,2:11:00 PM,4:25:00 PM,homework/work,5th floor,anxious,,,,,5,,,,,
5/2/2016,4:30:00 PM,4:35:00 PM,meeting with jonathan,66 w 12th,excited,,3,,3,,,,,,
5/2/2016,4:50:00 PM,5:05:00 PM,getting chocolate to give to my thesis readers,whole foods,calm,,,,5,2,,,,,
5/2/2016,6:00:00 PM,7:40:00 PM,packing,home,calm,,,2,8,2,,,,,
5/2/2016,8:36:00 PM,9:12:00 PM,"exercise (warmup, exercise, stretch/cooldown)",home,dying,,,,,,,,,,
5/2/2016,9:00:00 PM,9:20:00 PM,messaging colin about book,home,anxious,,2,,,3,,,,,
5/2/2016,9:21:00 PM,10:00:00 PM,editing book,home,calm,,,,3,1,,,,,
5/3/2016,8:00:00 AM,8:05:00 AM,met colin,14th/8th av,tired,,,,2,2,,,,10,
5/3/2016,8:30:00 AM,9:45:00 AM,visa adventure,chinese consulate,anxious,,,,3,5,,,,7,4
5/3/2016,9:46:00 AM,10:25:00 AM,run back to school to be late to class,,anxious,,,,,8,,,,6,
5/3/2016,10:30:00 AM,11:30:00 AM,calligraphy class ,6 e 16th,calm,,,,6,2,,,,6,
5/3/2016,11:45:00 AM,4:00:00 PM,work,5th floor cage,anxious/tired,,,,,8,,,,6,
5/3/2016,12:00:00 PM,12:05:00 PM,scolding colin for not giving me all his paperwork,5th floor cage,anxious,,,,,4,,,,6,
5/3/2016,1:30:00 PM,1:45:00 PM,getting hot cocoa with megan,croque,happy sad,,,5,,3,4,,,5,
